Currency Code,Currency Name,Buy,Transfer,Sell,BankName,Date
AUD,AUSTRALIAN DOLLAR   ,"16,213.98","16,377.75","16,903.25",VCB,12/11/2024
CAD,CANADIAN DOLLAR     ,"17,722.53","17,901.54","18,475.93",VCB,12/11/2024
CHF,SWISS FRANC         ,"28,013.22","28,296.18","29,204.10",VCB,12/11/2024
CNY,YUAN RENMINBI       ,"3,420.74","3,455.29","3,566.16",VCB,12/11/2024
DKK,DANISH KRONE        ,-,"3,550.58","3,686.57",VCB,12/11/2024
EUR,EURO                ,"26,289.73","26,555.28","27,731.37",VCB,12/11/2024
GBP,POUND STERLING      ,"31,737.15","32,057.73","33,086.34",VCB,12/11/2024
HKD,HONGKONG DOLLAR     ,"3,173.59","3,205.64","3,308.50",VCB,12/11/2024
INR,INDIAN RUPEE        ,-,299.17,311.13,VCB,12/11/2024
JPY,YEN                 ,158.82,160.42,168.06,VCB,12/11/2024
KRW,KOREAN WON          ,15.62,17.36,18.84,VCB,12/11/2024
KWD,KUWAITI DINAR       ,-,"82,192.39","85,478.73",VCB,12/11/2024
MYR,MALAYSIAN RINGGIT   ,-,"5,675.01","5,798.81",VCB,12/11/2024
NOK,NORWEGIAN KRONER    ,-,"2,250.40","2,345.96",VCB,12/11/2024
RUB,RUSSIAN RUBLE       ,-,251.00,277.86,VCB,12/11/2024
SAR,SAUDI RIAL          ,-,"6,722.44","6,991.23",VCB,12/11/2024
SEK,SWEDISH KRONA       ,-,"2,289.22","2,386.42",VCB,12/11/2024
SGD,SINGAPORE DOLLAR    ,"18,499.77","18,686.64","19,286.22",VCB,12/11/2024
THB,THAILAND BAHT       ,646.83,718.70,746.23,VCB,12/11/2024
USD,US DOLLAR           ,"25,090.00","25,120.00","25,480.00",VCB,12/11/2024
