Currency Code,Currency Name,Buy,Transfer,Sell,Date
USD,US DOLLAR,"25,127.00","25,157.00","25,460.00",03/12/2024
EUR,EURO,"26,122.50","26,386.36","27,554.84",03/12/2024
GBP,UK POUND STERLING,"31,518.19","31,836.56","32,857.93",03/12/2024
JPY,JAPANESE YEN,163.49,165.14,173.00,03/12/2024
AUD,AUSTRALIAN DOLLAR,"15,816.00","15,975.76","16,488.28",03/12/2024
SGD,SINGAPORE DOLLAR,"18,449.99","18,636.35","19,234.23",03/12/2024
THB,THAI BAHT,659.10,732.34,760.38,03/12/2024
CAD,CANADIAN DOLLAR,"17,488.96","17,665.61","18,232.35",03/12/2024
CHF,SWISS FRANC,"28,167.47","28,451.99","29,364.77",03/12/2024
HKD,HONG KONG DOLLAR,"3,180.61","3,212.73","3,315.80",03/12/2024
CNY,CHINESE YUAN,"3,403.73","3,438.11","3,548.41",03/12/2024
DKK,DANISH KRONE,-,"3,529.55","3,664.71",03/12/2024
INR,INDIAN RUPEE,-,299.03,310.98,03/12/2024
KRW,KOREAN WON,15.41,17.13,18.58,03/12/2024
KWD,KUWAITI DINAR,-,"82,419.80","85,714.86",03/12/2024
MYR,MALAYSIAN RINGGIT,-,"5,685.56","5,809.57",03/12/2024
NOK,NORWEGIAN KRONE,-,"2,229.60","2,324.27",03/12/2024
RUB,RUSSIAN RUBLE,-,240.31,266.02,03/12/2024
SAR,SAUDI ARABIAN RIYAL,-,"6,740.15","6,987.89",03/12/2024
SEK,SWEDISH KRONA,-,"2,275.66","2,372.28",03/12/2024
