Currency Code,Currency Name,Buy,Transfer,Sell,BankName,Date
AUD,AUSTRALIAN DOLLAR   ,"16,145.71","16,308.80","16,832.04",VCB,14/11/2024
CAD,CANADIAN DOLLAR     ,"17,720.00","17,898.99","18,473.26",VCB,14/11/2024
CHF,SWISS FRANC         ,"28,028.88","28,312.00","29,220.34",VCB,14/11/2024
CNY,YUAN RENMINBI       ,"3,424.10","3,458.69","3,569.66",VCB,14/11/2024
DKK,DANISH KRONE        ,-,"3,545.96","3,681.76",VCB,14/11/2024
EUR,EURO                ,"26,254.69","26,519.89","27,694.34",VCB,14/11/2024
GBP,POUND STERLING      ,"31,503.16","31,821.38","32,842.32",VCB,14/11/2024
HKD,HONGKONG DOLLAR     ,"3,178.11","3,210.21","3,313.21",VCB,14/11/2024
INR,INDIAN RUPEE        ,-,299.71,311.69,VCB,14/11/2024
JPY,YEN                 ,158.30,159.90,167.51,VCB,14/11/2024
KRW,KOREAN WON          ,15.60,17.34,18.81,VCB,14/11/2024
KWD,KUWAITI DINAR       ,-,"82,215.28","85,502.33",VCB,14/11/2024
MYR,MALAYSIAN RINGGIT   ,-,"5,650.70","5,773.96",VCB,14/11/2024
NOK,NORWEGIAN KRONER    ,-,"2,244.53","2,339.83",VCB,14/11/2024
RUB,RUSSIAN RUBLE       ,-,246.90,273.32,VCB,14/11/2024
SAR,SAUDI RIAL          ,-,"6,731.10","6,978.52",VCB,14/11/2024
SEK,SWEDISH KRONA       ,-,"2,280.21","2,377.03",VCB,14/11/2024
SGD,SINGAPORE DOLLAR    ,"18,483.29","18,669.99","19,268.99",VCB,14/11/2024
THB,THAILAND BAHT       ,646.54,718.38,745.89,VCB,14/11/2024
USD,US DOLLAR           ,"25,150.00","25,180.00","25,502.00",VCB,14/11/2024
