Currency Code,Currency Name,Buy,Transfer,Sell,Date
USD,US DOLLAR,"25,130.00","25,160.00","25,463.00",01/12/2024
EUR,EURO,"26,096.55","26,360.15","27,527.52",01/12/2024
GBP,UK POUND STERLING,"31,372.20","31,689.09","32,705.78",01/12/2024
JPY,JAPANESE YEN,162.40,164.04,171.84,01/12/2024
AUD,AUSTRALIAN DOLLAR,"16,064.17","16,226.43","16,747.03",01/12/2024
SGD,SINGAPORE DOLLAR,"18,424.05","18,610.15","19,207.23",01/12/2024
THB,THAI BAHT,651.81,724.23,751.97,01/12/2024
CAD,CANADIAN DOLLAR,"17,645.36","17,823.60","18,395.44",01/12/2024
CHF,SWISS FRANC,"28,044.78","28,328.06","29,236.92",01/12/2024
HKD,HONG KONG DOLLAR,"3,175.50","3,207.57","3,310.48",01/12/2024
CNY,CHINESE YUAN,"3,411.91","3,446.37","3,556.94",01/12/2024
DKK,DANISH KRONE,-,"3,525.22","3,660.22",01/12/2024
INR,INDIAN RUPEE,-,299.36,311.33,01/12/2024
KRW,KOREAN WON,15.72,17.46,18.95,01/12/2024
KWD,KUWAITI DINAR,-,"82,375.96","85,669.44",01/12/2024
MYR,MALAYSIAN RINGGIT,-,"5,655.80","5,779.16",01/12/2024
NOK,NORWEGIAN KRONE,-,"2,251.63","2,347.23",01/12/2024
RUB,RUSSIAN RUBLE,-,223.47,247.38,01/12/2024
SAR,SAUDI ARABIAN RIYAL,-,"6,732.53","6,980.01",01/12/2024
SEK,SWEDISH KRONA,-,"2,276.47","2,373.13",01/12/2024
