Currency Code,Currency Name,Buy,Transfer,Sell,BankName,Date
AUD,AUSTRALIAN DOLLAR   ,"15,797.94","15,957.52","16,469.48",VCB,10/12/2024
CAD,CANADIAN DOLLAR     ,"17,434.75","17,610.86","18,175.88",VCB,10/12/2024
CHF,SWISS FRANC         ,"28,120.51","28,404.55","29,315.86",VCB,10/12/2024
CNY,YUAN RENMINBI       ,"3,409.24","3,443.68","3,554.16",VCB,10/12/2024
DKK,DANISH KRONE        ,-,"3,521.48","3,656.34",VCB,10/12/2024
EUR,EURO                ,"26,064.63","26,327.90","27,493.84",VCB,10/12/2024
GBP,POUND STERLING      ,"31,506.91","31,825.16","32,846.21",VCB,10/12/2024
HKD,HONGKONG DOLLAR     ,"3,179.19","3,211.30","3,314.33",VCB,10/12/2024
INR,INDIAN RUPEE        ,-,298.17,310.09,VCB,10/12/2024
JPY,YEN                 ,161.50,163.13,170.89,VCB,10/12/2024
KRW,KOREAN WON          ,15.34,17.04,18.49,VCB,10/12/2024
KWD,KUWAITI DINAR       ,-,"82,285.01","85,574.82",VCB,10/12/2024
MYR,MALAYSIAN RINGGIT   ,-,"5,672.26","5,795.98",VCB,10/12/2024
NOK,NORWEGIAN KRONER    ,-,"2,237.53","2,332.54",VCB,10/12/2024
RUB,RUSSIAN RUBLE       ,-,241.62,267.48,VCB,10/12/2024
SAR,SAUDI RIAL          ,-,"6,732.97","6,980.46",VCB,10/12/2024
SEK,SWEDISH KRONA       ,-,"2,271.97","2,368.43",VCB,10/12/2024
SGD,SINGAPORE DOLLAR    ,"18,451.07","18,637.44","19,235.39",VCB,10/12/2024
THB,THAILAND BAHT       ,663.33,737.03,765.25,VCB,10/12/2024
USD,US DOLLAR           ,"25,140.00","25,170.00","25,470.00",VCB,10/12/2024
