Currency Code,Currency Name,Buy,Transfer,Sell,BankName,Date
AUD,AUSTRALIAN DOLLAR   ,"16,272.72","16,437.09","16,964.46",VCB,05/11/2024
CAD,CANADIAN DOLLAR     ,"17,774.18","17,953.72","18,529.74",VCB,05/11/2024
CHF,SWISS FRANC         ,"28,598.34","28,887.21","29,814.04",VCB,05/11/2024
CNY,YUAN RENMINBI       ,"3,476.94","3,512.06","3,624.74",VCB,05/11/2024
DKK,DANISH KRONE        ,-,"3,629.25","3,768.24",VCB,05/11/2024
EUR,EURO                ,"26,866.79","27,138.17","28,340.01",VCB,05/11/2024
GBP,POUND STERLING      ,"31,997.09","32,320.29","33,357.26",VCB,05/11/2024
HKD,HONGKONG DOLLAR     ,"3,177.80","3,209.90","3,312.88",VCB,05/11/2024
INR,INDIAN RUPEE        ,-,300.55,312.56,VCB,05/11/2024
JPY,YEN                 ,160.55,162.17,169.89,VCB,05/11/2024
KRW,KOREAN WON          ,15.90,17.67,19.17,VCB,05/11/2024
KWD,KUWAITI DINAR       ,-,"82,612.55","85,915.54",VCB,05/11/2024
MYR,MALAYSIAN RINGGIT   ,-,"5,742.89","5,868.16",VCB,05/11/2024
NOK,NORWEGIAN KRONER    ,-,"2,259.05","2,354.97",VCB,05/11/2024
RUB,RUSSIAN RUBLE       ,-,245.29,271.53,VCB,05/11/2024
SAR,SAUDI RIAL          ,-,"6,734.54","7,003.80",VCB,05/11/2024
SEK,SWEDISH KRONA       ,-,"2,315.74","2,414.07",VCB,05/11/2024
SGD,SINGAPORE DOLLAR    ,"18,733.78","18,923.01","19,530.14",VCB,05/11/2024
THB,THAILAND BAHT       ,665.10,739.00,767.30,VCB,05/11/2024
USD,US DOLLAR           ,"25,130.00","25,160.00","25,460.00",VCB,05/11/2024
