Currency Code,Currency Name,Buy,Transfer,Sell,Date
USD,US DOLLAR,"25,084.00","25,114.00","25,454.00",01/11/2024
EUR,EURO,"26,771.11","27,041.53","28,239.20",01/11/2024
GBP,UK POUND STERLING,"31,800.55","32,121.77","33,152.49",01/11/2024
JPY,JAPANESE YEN,159.91,161.53,169.21,01/11/2024
AUD,AUSTRALIAN DOLLAR,"16,175.04","16,338.42","16,862.69",01/11/2024
SGD,SINGAPORE DOLLAR,"18,614.60","18,802.62","19,405.96",01/11/2024
THB,THAI BAHT,659.61,732.90,760.97,01/11/2024
CAD,CANADIAN DOLLAR,"17,693.89","17,872.61","18,446.11",01/11/2024
CHF,SWISS FRANC,"28,395.84","28,682.66","29,603.03",01/11/2024
HKD,HONG KONG DOLLAR,"3,168.93","3,200.93","3,303.65",01/11/2024
CNY,CHINESE YUAN,"3,459.46","3,494.40","3,606.53",01/11/2024
DKK,DANISH KRONE,-,"3,616.27","3,754.78",01/11/2024
INR,INDIAN RUPEE,-,300.09,312.09,01/11/2024
KRW,KOREAN WON,15.87,17.63,19.13,01/11/2024
KWD,KUWAITI DINAR,-,"82,255.58","85,544.62",01/11/2024
MYR,MALAYSIAN RINGGIT,-,"5,716.20","5,840.91",01/11/2024
NOK,NORWEGIAN KRONE,-,"2,251.43","2,347.03",01/11/2024
RUB,RUSSIAN RUBLE,-,247.98,274.52,01/11/2024
SAR,SAUDI ARABIAN RIYAL,-,"6,715.37","6,983.88",01/11/2024
SEK,SWEDISH KRONA,-,"2,317.22","2,415.61",01/11/2024
