Currency Code,Currency Name,Buy,Transfer,Sell,Date
USD,US DOLLAR,"25,134.00","25,164.00","25,467.00",07/12/2024
EUR,EURO,"26,171.98","26,436.34","27,607.03",07/12/2024
GBP,UK POUND STERLING,"31,550.36","31,869.05","32,891.45",07/12/2024
JPY,JAPANESE YEN,163.49,165.14,173.00,07/12/2024
AUD,AUSTRALIAN DOLLAR,"15,947.12","16,108.20","16,624.98",07/12/2024
SGD,SINGAPORE DOLLAR,"18,491.35","18,678.13","19,277.35",07/12/2024
THB,THAI BAHT,657.36,730.40,758.38,07/12/2024
CAD,CANADIAN DOLLAR,"17,642.32","17,820.53","18,392.24",07/12/2024
CHF,SWISS FRANC,"28,170.68","28,455.23","29,368.12",07/12/2024
HKD,HONG KONG DOLLAR,"3,179.54","3,211.66","3,314.70",07/12/2024
CNY,CHINESE YUAN,"3,408.79","3,443.23","3,553.69",07/12/2024
DKK,DANISH KRONE,-,"3,535.60","3,671.00",07/12/2024
INR,INDIAN RUPEE,-,298.98,310.93,07/12/2024
KRW,KOREAN WON,15.51,17.24,18.70,07/12/2024
KWD,KUWAITI DINAR,-,"82,419.80","85,714.86",07/12/2024
MYR,MALAYSIAN RINGGIT,-,"5,680.42","5,804.31",07/12/2024
NOK,NORWEGIAN KRONE,-,"2,254.36","2,350.07",07/12/2024
RUB,RUSSIAN RUBLE,-,239.24,264.84,07/12/2024
SAR,SAUDI ARABIAN RIYAL,-,"6,741.04","6,988.82",07/12/2024
SEK,SWEDISH KRONA,-,"2,291.87","2,389.18",07/12/2024
