Ký hiệu ngoại tệ,Tên ngoại tệ,Mua tiền mặt và Séc,Mua chuyển khoản,Bán,Bank Name,Date
USD,Dollar Mỹ,"25,125","25,125","25,465",BIDV,2024-11-04
USD(1-2-5),Dollar,"24,120",-,-,BIDV,2024-11-04
USD(10-20),Dollar,"24,120",-,-,BIDV,2024-11-04
GBP,Bảng Anh,"32,433","32,507","33,366",BIDV,2024-11-04
HKD,Dollar Hồng Kông,"3,200","3,206","3,302",BIDV,2024-11-04
CHF,Franc Thụy Sỹ,"28,858","28,887","29,671",BIDV,2024-11-04
JPY,Yên Nhật,162.92,163.18,170.14,BIDV,2024-11-04
THB,Baht Thái Lan,688.69,722.96,773.17,BIDV,2024-11-04
AUD,Dollar Australia,"16,529","16,554","16,954",BIDV,2024-11-04
CAD,Dollar Canada,"18,027","18,052","18,492",BIDV,2024-11-04
SGD,Dollar Singapore,"18,781","18,858","19,510",BIDV,2024-11-04
SEK,Krone Thụy Điển,-,"2,330","2,411",BIDV,2024-11-04
LAK,Kip Lào,-,0.88,1.22,BIDV,2024-11-04
DKK,Krone Đan Mạch,-,"3,633","3,757",BIDV,2024-11-04
NOK,Krone Na Uy,-,"2,266","2,344",BIDV,2024-11-04
CNY,Nhân Dân Tệ,-,"3,528","3,633",BIDV,2024-11-04
RUB,Rub Nga,-,-,-,BIDV,2024-11-04
NZD,Dollar New Zealand,"14,889","14,982","15,406",BIDV,2024-11-04
KRW,Won Hàn Quốc,16.16,17.85,19.07,BIDV,2024-11-04
EUR,Euro,"27,087","27,131","28,310",BIDV,2024-11-04
TWD,Dollar Đài Loan,717.28,-,867.99,BIDV,2024-11-04
MYR,Ringgit Malaysia,"5,414.79",-,"6,104.21",BIDV,2024-11-04
SAR,Saudi Arabian Riyals,-,"6,623.07","6,968.7",BIDV,2024-11-04
KWD,Kuwait Dinar,-,"80,359","85,436",BIDV,2024-11-04
XAU,Vàng SJC 1 lượng (đơn vị: 1000đ),-,-,"89,000",BIDV,2024-11-04
