Ký hiệu ngoại tệ,Tên ngoại tệ,Mua tiền mặt và Séc,Mua chuyển khoản,Bán,Bank Name,Date
USD,Dollar Mỹ,"25,127","25,127","25,455",BIDV,2024-10-31
USD(1-2-5),Dollar,"24,122",-,-,BIDV,2024-10-31
USD(10-20),Dollar,"24,122",-,-,BIDV,2024-10-31
GBP,Bảng Anh,"32,348","32,422","33,263",BIDV,2024-10-31
HKD,Dollar Hồng Kông,"3,201","3,208","3,302",BIDV,2024-10-31
CHF,Franc Thụy Sỹ,"28,834","28,863","29,632",BIDV,2024-10-31
JPY,Yên Nhật,161.45,161.7,168.53,BIDV,2024-10-31
THB,Baht Thái Lan,688.34,722.59,772.87,BIDV,2024-10-31
AUD,Dollar Australia,"16,451","16,475","16,873",BIDV,2024-10-31
CAD,Dollar Canada,"18,015","18,041","18,471",BIDV,2024-10-31
SGD,Dollar Singapore,"18,706","18,783","19,421",BIDV,2024-10-31
SEK,Krone Thụy Điển,-,"2,328","2,407",BIDV,2024-10-31
LAK,Kip Lào,-,0.88,1.22,BIDV,2024-10-31
DKK,Krone Đan Mạch,-,"3,619","3,740",BIDV,2024-10-31
NOK,Krone Na Uy,-,"2,267","2,344",BIDV,2024-10-31
CNY,Nhân Dân Tệ,-,"3,515","3,618",BIDV,2024-10-31
RUB,Rub Nga,-,-,-,BIDV,2024-10-31
NZD,Dollar New Zealand,"14,843","14,936","15,351",BIDV,2024-10-31
KRW,Won Hàn Quốc,16.08,17.77,18.98,BIDV,2024-10-31
EUR,Euro,"26,985","27,028","28,187",BIDV,2024-10-31
TWD,Dollar Đài Loan,714.76,-,864.53,BIDV,2024-10-31
MYR,Ringgit Malaysia,"5,399.16",-,"6,089.26",BIDV,2024-10-31
SAR,Saudi Arabian Riyals,-,"6,620.07","6,969.86",BIDV,2024-10-31
KWD,Kuwait Dinar,-,"80,203","85,453",BIDV,2024-10-31
XAU,Vàng SJC 1 lượng (đơn vị: 1000đ),-,-,"90,000",BIDV,2024-10-31
