Ký hiệu ngoại tệ,Tên ngoại tệ,Mua tiền mặt và Séc,Mua chuyển khoản,Bán,Bank Name,Date
USD,Dollar Mỹ,"25,173","25,173","25,473",BIDV,2024-12-03
USD(1-2-5),Dollar,"24,166",-,-,BIDV,2024-12-03
USD(10-20),Dollar,"24,166",-,-,BIDV,2024-12-03
GBP,Bảng Anh,"31,694","31,767","32,626",BIDV,2024-12-03
HKD,Dollar Hồng Kông,"3,202","3,209","3,299",BIDV,2024-12-03
CHF,Franc Thụy Sỹ,"28,205","28,233","29,053",BIDV,2024-12-03
JPY,Yên Nhật,164.48,164.75,172.37,BIDV,2024-12-03
THB,Baht Thái Lan,678.56,712.32,760.35,BIDV,2024-12-03
AUD,Dollar Australia,"16,201","16,225","16,699",BIDV,2024-12-03
CAD,Dollar Canada,"17,842","17,867","18,366",BIDV,2024-12-03
SGD,Dollar Singapore,"18,501","18,577","19,173",BIDV,2024-12-03
SEK,Krone Thụy Điển,-,"2,267","2,340",BIDV,2024-12-03
LAK,Kip Lào,-,0.88,1.22,BIDV,2024-12-03
DKK,Krone Đan Mạch,-,"3,507","3,621",BIDV,2024-12-03
NOK,Krone Na Uy,-,"2,245","2,319",BIDV,2024-12-03
CNY,Nhân Dân Tệ,-,"3,444","3,541",BIDV,2024-12-03
RUB,Rub Nga,-,-,-,BIDV,2024-12-03
NZD,Dollar New Zealand,"14,637","14,728","15,125",BIDV,2024-12-03
KRW,Won Hàn Quốc,15.85,17.51,18.86,BIDV,2024-12-03
EUR,Euro,"26,171","26,213","27,375",BIDV,2024-12-03
TWD,Dollar Đài Loan,702.9,-,849.22,BIDV,2024-12-03
MYR,Ringgit Malaysia,"5,304.96",-,"5,972.07",BIDV,2024-12-03
SAR,Saudi Arabian Riyals,-,"6,632.89","6,968.29",BIDV,2024-12-03
KWD,Kuwait Dinar,-,"80,284","85,221",BIDV,2024-12-03
XAU,Vàng SJC 1 lượng (đơn vị: 1000đ),-,-,"85,500",BIDV,2024-12-03
