Ký hiệu ngoại tệ,Tên ngoại tệ,Mua tiền mặt và Séc,Mua chuyển khoản,Bán,Bank Name,Date
USD,Dollar Mỹ,"25,118","25,118","25,458",BIDV,2024-10-30
USD(1-2-5),Dollar,"24,113",-,-,BIDV,2024-10-30
USD(10-20),Dollar,"24,113",-,-,BIDV,2024-10-30
GBP,Bảng Anh,"32,501","32,576","33,452",BIDV,2024-10-30
HKD,Dollar Hồng Kông,"3,200","3,207","3,303",BIDV,2024-10-30
CHF,Franc Thụy Sỹ,"28,817","28,846","29,642",BIDV,2024-10-30
JPY,Yên Nhật,161.97,162.23,169.15,BIDV,2024-10-30
THB,Baht Thái Lan,690.33,724.68,774.79,BIDV,2024-10-30
AUD,Dollar Australia,"16,472","16,497","16,900",BIDV,2024-10-30
CAD,Dollar Canada,"18,017","18,042","18,481",BIDV,2024-10-30
SGD,Dollar Singapore,"18,703","18,780","19,428",BIDV,2024-10-30
SEK,Krone Thụy Điển,-,"2,338","2,418",BIDV,2024-10-30
LAK,Kip Lào,-,0.88,1.22,BIDV,2024-10-30
DKK,Krone Đan Mạch,-,"3,613","3,737",BIDV,2024-10-30
NOK,Krone Na Uy,-,"2,277","2,355",BIDV,2024-10-30
CNY,Nhân Dân Tệ,-,"3,513","3,617",BIDV,2024-10-30
RUB,Rub Nga,-,-,-,BIDV,2024-10-30
NZD,Dollar New Zealand,"14,880","14,973","15,402",BIDV,2024-10-30
KRW,Won Hàn Quốc,16.13,-,19.04,BIDV,2024-10-30
EUR,Euro,"26,948","26,991","28,165",BIDV,2024-10-30
TWD,Dollar Đài Loan,714.46,-,864.58,BIDV,2024-10-30
MYR,Ringgit Malaysia,"5,394.77",-,"6,085.8",BIDV,2024-10-30
SAR,Saudi Arabian Riyals,-,"6,621.4","6,966.97",BIDV,2024-10-30
KWD,Kuwait Dinar,-,"80,310","85,357",BIDV,2024-10-30
XAU,Vàng SJC 1 lượng (đơn vị: 1000đ),-,-,"89,000",BIDV,2024-10-30
