Ký hiệu ngoại tệ,Tên ngoại tệ,Mua tiền mặt và Séc,Mua chuyển khoản,Bán,Bank Name,Date
USD,Dollar Mỹ,"25,160","25,160","25,480",BIDV,2024-11-12
USD(1-2-5),Dollar,"24,154",-,-,BIDV,2024-11-12
USD(10-20),Dollar,"24,154",-,-,BIDV,2024-11-12
GBP,Bảng Anh,"32,085","32,159","32,982",BIDV,2024-11-12
HKD,Dollar Hồng Kông,"3,202","3,209","3,302",BIDV,2024-11-12
CHF,Franc Thụy Sỹ,"28,374","28,402","29,150",BIDV,2024-11-12
JPY,Yên Nhật,161.45,161.71,168.51,BIDV,2024-11-12
THB,Baht Thái Lan,670.21,703.56,751.81,BIDV,2024-11-12
AUD,Dollar Australia,"16,445","16,469","16,853",BIDV,2024-11-12
CAD,Dollar Canada,"17,995","18,020","18,444",BIDV,2024-11-12
SGD,Dollar Singapore,"18,541","18,618","19,244",BIDV,2024-11-12
SEK,Krone Thụy Điển,-,"2,292","2,369",BIDV,2024-11-12
LAK,Kip Lào,-,0.88,1.22,BIDV,2024-11-12
DKK,Krone Đan Mạch,-,"3,553","3,671",BIDV,2024-11-12
NOK,Krone Na Uy,-,"2,252","2,328",BIDV,2024-11-12
CNY,Nhân Dân Tệ,-,"3,466","3,565",BIDV,2024-11-12
RUB,Rub Nga,-,-,-,BIDV,2024-11-12
NZD,Dollar New Zealand,"14,813","14,905","15,315",BIDV,2024-11-12
KRW,Won Hàn Quốc,15.83,17.49,18.67,BIDV,2024-11-12
EUR,Euro,"26,490","26,533","27,661",BIDV,2024-11-12
TWD,Dollar Đài Loan,705.98,-,853.62,BIDV,2024-11-12
MYR,Ringgit Malaysia,"5,344.07",-,"6,020.92",BIDV,2024-11-12
SAR,Saudi Arabian Riyals,-,"6,631.94","6,972.43",BIDV,2024-11-12
KWD,Kuwait Dinar,-,"80,227","85,228",BIDV,2024-11-12
XAU,Vàng SJC 1 lượng (đơn vị: 1000đ),-,-,"84,100",BIDV,2024-11-12
