Ký hiệu ngoại tệ,Tên ngoại tệ,Mua tiền mặt và Séc,Mua chuyển khoản,Bán,Bank Name,Date
USD,Dollar Mỹ,"25,114","25,114","25,454",BIDV,2024-11-01
USD(1-2-5),Dollar,"24,109",-,-,BIDV,2024-11-01
USD(10-20),Dollar,"24,109",-,-,BIDV,2024-11-01
GBP,Bảng Anh,"32,239","32,313","33,167",BIDV,2024-11-01
HKD,Dollar Hồng Kông,"3,197","3,204","3,300",BIDV,2024-11-01
CHF,Franc Thụy Sỹ,"28,752","28,781","29,563",BIDV,2024-11-01
JPY,Yên Nhật,162.29,162.55,169.49,BIDV,2024-11-01
THB,Baht Thái Lan,685.95,720.08,769.87,BIDV,2024-11-01
AUD,Dollar Australia,"16,437","16,462","16,859",BIDV,2024-11-01
CAD,Dollar Canada,"17,982","18,007","18,445",BIDV,2024-11-01
SGD,Dollar Singapore,"18,681","18,758","19,405",BIDV,2024-11-01
SEK,Krone Thụy Điển,-,"2,327","2,407",BIDV,2024-11-01
LAK,Kip Lào,-,0.88,1.22,BIDV,2024-11-01
DKK,Krone Đan Mạch,-,"3,620","3,743",BIDV,2024-11-01
NOK,Krone Na Uy,-,"2,262","2,340",BIDV,2024-11-01
CNY,Nhân Dân Tệ,-,"3,513","3,616",BIDV,2024-11-01
RUB,Rub Nga,-,-,-,BIDV,2024-11-01
NZD,Dollar New Zealand,"14,823","14,916","15,337",BIDV,2024-11-01
KRW,Won Hàn Quốc,16.09,-,19,BIDV,2024-11-01
EUR,Euro,"26,991","27,034","28,207",BIDV,2024-11-01
TWD,Dollar Đài Loan,715.68,-,866.07,BIDV,2024-11-01
MYR,Ringgit Malaysia,"5,393.91",-,"6,084.85",BIDV,2024-11-01
SAR,Saudi Arabian Riyals,-,"6,620.34","6,965.87",BIDV,2024-11-01
KWD,Kuwait Dinar,-,"80,253","85,324",BIDV,2024-11-01
XAU,Vàng SJC 1 lượng (đơn vị: 1000đ),-,-,"89,500",BIDV,2024-11-01
