Ký hiệu ngoại tệ,Tên ngoại tệ,Mua tiền mặt và Séc,Mua chuyển khoản,Bán,Bank Name,Date
USD,Dollar Mỹ,"25,177","25,177","25,479",BIDV,2024-12-05
USD(1-2-5),Dollar,"24,170",-,-,BIDV,2024-12-05
USD(10-20),Dollar,"24,170",-,-,BIDV,2024-12-05
GBP,Bảng Anh,"31,847","31,920","32,786",BIDV,2024-12-05
HKD,Dollar Hồng Kông,"3,202","3,209","3,300",BIDV,2024-12-05
CHF,Franc Thụy Sỹ,"28,337","28,366","29,201",BIDV,2024-12-05
JPY,Yên Nhật,164.63,164.89,172.57,BIDV,2024-12-05
THB,Baht Thái Lan,682.44,716.4,764.99,BIDV,2024-12-05
AUD,Dollar Australia,"16,109","16,133","16,595",BIDV,2024-12-05
CAD,Dollar Canada,"17,809","17,833","18,331",BIDV,2024-12-05
SGD,Dollar Singapore,"18,563","18,639","19,243",BIDV,2024-12-05
SEK,Krone Thụy Điển,-,"2,284","2,359",BIDV,2024-12-05
LAK,Kip Lào,-,0.88,1.22,BIDV,2024-12-05
DKK,Krone Đan Mạch,-,"3,519","3,633",BIDV,2024-12-05
NOK,Krone Na Uy,-,"2,257","2,334",BIDV,2024-12-05
CNY,Nhân Dân Tệ,-,"3,451","3,549",BIDV,2024-12-05
RUB,Rub Nga,-,-,-,BIDV,2024-12-05
NZD,Dollar New Zealand,"14,606","14,698","15,095",BIDV,2024-12-05
KRW,Won Hàn Quốc,15.71,17.36,18.69,BIDV,2024-12-05
EUR,Euro,"26,255","26,297","27,465",BIDV,2024-12-05
TWD,Dollar Đài Loan,706.42,-,852.85,BIDV,2024-12-05
MYR,Ringgit Malaysia,"5,346.48",-,"6,019.33",BIDV,2024-12-05
SAR,Saudi Arabian Riyals,-,"6,634.12","6,970.86",BIDV,2024-12-05
KWD,Kuwait Dinar,-,"80,268","85,210",BIDV,2024-12-05
XAU,Vàng SJC 1 lượng (đơn vị: 1000đ),-,-,"85,500",BIDV,2024-12-05
