Ký hiệu ngoại tệ,Tên ngoại tệ,Mua tiền mặt và Séc,Mua chuyển khoản,Bán,Bank Name,Date
USD,Dollar Mỹ,"25,170","25,170","25,470",BIDV,2024-12-10
USD(1-2-5),Dollar,"24,163",-,-,BIDV,2024-12-10
USD(10-20),Dollar,"24,163",-,-,BIDV,2024-12-10
GBP,Bảng Anh,"31,951","32,024","32,890",BIDV,2024-12-10
HKD,Dollar Hồng Kông,"3,205","3,212","3,303",BIDV,2024-12-10
CHF,Franc Thụy Sỹ,"28,539","28,568","29,398",BIDV,2024-12-10
JPY,Yên Nhật,163.2,163.46,171.06,BIDV,2024-12-10
THB,Baht Thái Lan,692.38,726.83,776.31,BIDV,2024-12-10
AUD,Dollar Australia,"16,012","16,036","16,501",BIDV,2024-12-10
CAD,Dollar Canada,"17,678","17,703","18,192",BIDV,2024-12-10
SGD,Dollar Singapore,"18,598","18,674","19,276",BIDV,2024-12-10
SEK,Krone Thụy Điển,-,"2,285","2,359",BIDV,2024-12-10
LAK,Kip Lào,-,0.88,1.22,BIDV,2024-12-10
DKK,Krone Đan Mạch,-,"3,531","3,646",BIDV,2024-12-10
NOK,Krone Na Uy,-,"2,239","2,313",BIDV,2024-12-10
CNY,Nhân Dân Tệ,-,"3,464","3,561",BIDV,2024-12-10
RUB,Rub Nga,-,-,-,BIDV,2024-12-10
NZD,Dollar New Zealand,"14,513","14,603","15,000",BIDV,2024-12-10
KRW,Won Hàn Quốc,15.57,17.2,18.53,BIDV,2024-12-10
EUR,Euro,"26,348","26,390","27,560",BIDV,2024-12-10
TWD,Dollar Đài Loan,705.5,-,852.37,BIDV,2024-12-10
MYR,Ringgit Malaysia,"5,353.44",-,"6,025.36",BIDV,2024-12-10
SAR,Saudi Arabian Riyals,-,"6,633.52","6,968.95",BIDV,2024-12-10
KWD,Kuwait Dinar,-,"80,259","85,194",BIDV,2024-12-10
XAU,Vàng SJC 1 lượng (đơn vị: 1000đ),-,-,"85,600",BIDV,2024-12-10
