Ký hiệu ngoại tệ,Tên ngoại tệ,Mua tiền mặt và Séc,Mua chuyển khoản,Bán,Bank Name,Date
USD,Dollar Mỹ,"25,185","25,185","25,475",BIDV,2024-12-04
USD(1-2-5),Dollar,"24,178",-,-,BIDV,2024-12-04
USD(10-20),Dollar,"24,178",-,-,BIDV,2024-12-04
GBP,Bảng Anh,"31,742","31,815","32,670",BIDV,2024-12-04
HKD,Dollar Hồng Kông,"3,203","3,210","3,299",BIDV,2024-12-04
CHF,Franc Thụy Sỹ,"28,238","28,266","29,075",BIDV,2024-12-04
JPY,Yên Nhật,164.13,164.4,171.97,BIDV,2024-12-04
THB,Baht Thái Lan,679.67,713.49,761.52,BIDV,2024-12-04
AUD,Dollar Australia,"16,081","16,105","16,569",BIDV,2024-12-04
CAD,Dollar Canada,"17,807","17,832","18,321",BIDV,2024-12-04
SGD,Dollar Singapore,"18,504","18,580","19,173",BIDV,2024-12-04
SEK,Krone Thụy Điển,-,"2,262","2,335",BIDV,2024-12-04
LAK,Kip Lào,-,0.88,1.22,BIDV,2024-12-04
DKK,Krone Đan Mạch,-,"3,509","3,621",BIDV,2024-12-04
NOK,Krone Na Uy,-,"2,254","2,326",BIDV,2024-12-04
CNY,Nhân Dân Tệ,-,"3,450","3,546",BIDV,2024-12-04
RUB,Rub Nga,-,-,-,BIDV,2024-12-04
NZD,Dollar New Zealand,"14,559","14,650","15,039",BIDV,2024-12-04
KRW,Won Hàn Quốc,15.73,-,18.7,BIDV,2024-12-04
EUR,Euro,"26,186","26,228","27,378",BIDV,2024-12-04
TWD,Dollar Đài Loan,705.36,-,851.33,BIDV,2024-12-04
MYR,Ringgit Malaysia,"5,327.75",-,"5,994.03",BIDV,2024-12-04
SAR,Saudi Arabian Riyals,-,"6,635.53","6,967.91",BIDV,2024-12-04
KWD,Kuwait Dinar,-,"80,260","85,133",BIDV,2024-12-04
XAU,Vàng SJC 1 lượng (đơn vị: 1000đ),-,-,"85,500",BIDV,2024-12-04
